1,Silent Night,Monster Ballads X-Mas,Faster Pussy cat,2003,rock,0
2,Tanssi vaan,Karkuteill¥Ë__,Karkkiautomaatti,1995,pop,0.2
3,No One Could Ever,Butter,Hudson Mohawke,2006,pop,0
4,Si Vos Quer’©s,De Culo,Yerba Brava,2003,jazz,0
5,Tangle Of Aspens,Rene Ablaze Presents Winter Sessions,Der Mystic,0,classical,0
6,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",Berwald: Symphonies Nos. 1/2/3/4,David Montgomery,0,metal,0.5
7,We Have Got Love,Strictly The Best Vol. 34,Sasha / Turbulence,0,pop,0.7
8,2 Da Beat Ch'yall,Da Bomb,Kris Kross,1993,jazz,0.3
9,Goodbye,Danny Boy,Joseph Locke,0,classical,0.6
10,Mama_ mama can't you see ?,March to cadence with the US marines,The Sun Harbor's Chorus-Documentary Recordings,0,metal,0.3
11,L'antarctique,Des cobras des tarentules,3 Gars Su'l Sofa,2007,rock,0.2
12,El hijo del pueblo,32 Grandes ¥Ë_¥Ë_xitos  CD 2,Jorge Negrete,1997,pop,0.5
13,Cold Beer feat. Prince Metropolitan,International Hardcore Superstar,Danny Diablo,0,pop,0.9
14,Pilots,The Loyal,Tiger Lou,2005,jazz,0.6
15,N Gana,Afropea 3 - Telling Stories To The Sea,Waldemar Bastos,0,classical,0.3
16,6,Lena 20 ¥Ë_¥Ë_r,Lena Philipsson,1998,metal,0
17,(Looking For) The Heart Of Saturday,Cover Girl,Shawn Colvin,1994,pop,0
18,Ethos of Coercion,Descend Into Depravity,Dying Fetus,2009,jazz,0
19,Rock-N-Rule,I'm Only A Man (Bonus Track Version),Emery,2007,classical,0
20,La bola extra,La bola extra,Los Ronaldos,0,metal,0
21,I Made It Over,Let's Celebrate (He Is Risen),Rev. Timothy Wright,0,classical,0
22,Debussy : 12 Etudes : VI Pour les huit doigts,Debussy : 12 Etudes_ Images Sets 1 & 2,Pierre-Laurent Aimard,0,metal,0.3
23,Nervous,Let No One Live Rent Free In Your Head,Nicolette,1996,pop,0.6
24,In The Journey,In The Journey,Martin Sexton,2001,jazz,0.3
25,Fuckin Ethic People (999),Craze¥Ë_¥Ë_ Musick,Craze,0,classical,0.2
26,Tu Vida Con La M¥Ë__a,Hoy Quiero So’±ar,Christian Castro,0,metal,0.5
27,I'm Ready,Honkin' On Bobo,Aerosmith,2004,rock,0.9
28,Take As Needed,Nerve Damage,Skinlab,2002,pop,0.6
29,Autumn In The Mind (Acoustic Version),Lo Fi_ Acoustic Excursions,Mike Badger and Friends,0,pop,0.3
30,Tequila,Tequila il mambo del giubileo (12 Inc),Piotta,0,jazz,0
31,All For A Purpose (Speak Life Album Version),Speak Life,Sev Statik,0,classical,0
32,C On,C On,The Advent,0,metal,0
33,Raspberry Beret (LP Version),The Hits/The B-Sides,Prince & The Revolution,0,pop,0.5
34,All of the same blood,Violent revolution,Kreator,2001,jazz,0.7
35,One Little Too Little,Hall Of Fame,Hall Of Fame,1996,classical,0.3
36,Cockleshell Heroes,Classic Years,Frank Chacksfield,2007,metal,0.6
37,Trancesequence,Voyage,Voyage,0,classical,0.3
38,Wonderful Stash,TRANCE VISIONARY,Wishbone Ash,1998,metal,0.2
39,La filo,Le meilleur,Malavoi,0,pop,0.5
40,Throw It Away,Easy Listening,Cobra Verde,2003,jazz,0.9
41,Before He Kissed Me,Lisa Brokop,Lisa Brokop,0,classical,0.6
42,Blessed,Rejoice,The Emotions,1977,metal,0.3
43,Goa Amsterdam,B.P.M. - Bionic Pulse Method Vol. 3,Safi Connection,0,classical,0
44,Disaster [Demo Version],Fragile Future,Hawthorne Heights,2008,metal,0
45,Night And Day,The Best Of,The Maytals,1994,pop,0
46,Passione,Alla Fine Della Notte,Neffa,2007,jazz,0.2
47,My Everything [Screwed] (feat. Trae The Truth),[Screwed] Tha Flood - Swishahouse Mix,Lil O,0,classical,0
48,Scream,Devil's Playground,Billy Idol,2005,metal,0
49,The Man Delusion,The Man Delusion,The Vichy Government,0,rock,0
50,He Is Not Silent (Out Of The Grey Album Version),The Early Years,Out Of The Grey,0,pop,0.5
51,Pepe El Ma’±oso,Salsa Cubana Vol.6,Orquesta Sonara La Habana,0,pop,0.7
52,Ac’©rcate M¥Ë_¥Ë_s,¥Ë_¥Ë_xitos Del Rom¥Ë_¥Ë_ntico De Siempre,Leo Marini,0,jazz,0.3
53,Mule Boogie,Country & Western,Sheb Wooley,1993,classical,0.6
54,Dancing In The Dark,The Look Of Love,Diana Krall,2001,metal,0.3
55,Mad About You,Change of Heart,Clifford T. Ward,2003,pop,0.2
56,Heartaches,Just Kiddin' Around,Ray Conniff;Billy Butterfield,0,jazz,0.5
57,Pain Over Acceptance,Unforgivable,Weekend Nachos,0,classical,0.9
58,Ships That Don't Come In,The Ultimate Hits,Joe Diffie,1992,metal,0.6
59,Saturday Night  (LP Version),Rick Medlocke & Blackfoot,Blackfoot,0,pop,0.3
60,I Just Want To Be With You This Christmas,My Christmas,Katie Armiger,0,jazz,0
61,On the Surface,Songs for the Incurable Heart,Stemm,2005,classical,0
62,Remember (Walking In The Sand),Night In The Ruts,Aerosmith,1979,metal,0
63,Just Another Woman,Singin' The Blues,Hot Lips Page,0,rock,0
64,untitled,Amaterasu,David Fridlund,2004,pop,0
65,Bakslag,Om Gaia,Kultiration,2004,pop,0
66,The New Way,Radio Ixtlan,Ewigkeit,2004,jazz,0.3
67,Suffer,In My Own Cage,JOHN DOE,0,classical,0.6
68,Cit’©s dortoires (feat. 59 Grammes),Rakailles 4,Alpha 5.20,0,metal,0.3
69,Bring It,Unspoken,Tonex,0,pop,0.2
70,You And I,Shine Through The Stars,Chasen,2008,jazz,0.5
71,Sitting In My Window (Finis Tasby BMI),What My Blues Are All About,Finis Tasby,0,classical,0.9
72,Raid The Itch,Black Label #57,Ogris Debris,0,metal,0.6
73,The Rest of the Night,The Wind,Warren Zevon,2003,classical,0.3
74,Ride,Orion,Andrea Klas,0,metal,0
75,Passion Protein,This Is Our Art,The Soup Dragons,1988,pop,0
76,Redemption,Write This Down,Write This Down,2010,jazz,0
77,Dame Tus  Besos,Radio Macand’©,Radio Macand’©,0,classical,0.5
78,Don't Prolong the Agony (Bonus Track),Touchpaper,Claire Hamill,0,metal,0.7
79,Dalny svet (bonus 2003),Kruiz-1,Kruiz,0,classical,0.3
80,Alice in Wonderland: Act I: The Caucus Race,DAVIS_ C.: Alice in Wonderland [Ballet] (Prague City Philharmonic_ Davis),Carl Davis,0,metal,0.6
81,Le mauvais coton,D’©vaste-Moi,Brigitte Fontaine,1990,pop,0.3
82,Love Can Change feat. Nadine Sutherland,Fatis Presents Abijah,Abijah,0,jazz,0.2
83,Subtek,Tone Tales From Tomorrow,Hex,0,classical,0.5
84,Dream Of Love,Lost In Paradise,X-Perience,2006,metal,0.9
85,Lucy Fears the Morning Star,Sing-Along Songs for the Damned and Delirious,Diablo Swing Orchestra,2009,rock,0.6
86,Fool on the Hill,English Guitar Music,John Williams,0,pop,0.3
87,Baiting the Public,Hidden World,Fucked Up,2006,pop,0
88,Death Acceptor,TheBloodyTransylvaniaStreetMachine,Drexel,0,jazz,0
89,Wipeout,100 Years of Surfing,The Surfaris,1988,classical,0
90,Fick uns,Die besten Tage sind gez¥Ë__hlt,Kool Savas,0,metal,0.2
91,Wir Sind Die Jungs feat. Din & Smexer,Blackbooked No. 2 - Jung_ sch’_n und stylish,Prinz Porno,0,pop,0
92,Make Dat Monet,Aristocrunk,Lord T & Eloise,0,jazz,0
93,Two Legged Sheep,Ain't Crying for the Moon,Kingdom Come,2006,classical,0
94,Chi Sei Adesso,4 x 4,Gemelli Diversi,2009,metal,0.5
95,Stuck On My Vision,Outrageous,Alice In Videoland,2005,metal,0.7
96,Joku muu,Galaksi,Kristian Meurman,2009,pop,0.3
97,Whaleface (Instrumental),Felt 3: A Tribute To Rosie Perez [Instrumentals & Acapellas],Felt,0,jazz,0.6
98,Brown Paper Bag,Time Flies When You're Gangster Fun,Gangster Fun,1992,classical,0.3
99,You Needed Me,Wind Beneath My Wings,Roger Whittaker,1994,metal,0.2
100,Pacey Singer,Third Hand Prophecy,A.Human,2008,rock,0.5
101,Superstition,Halloween Classics: Hellbent For Halloween,Beck_ Bogert_ Appice,0,pop,0.9
102,Ride,Ride,Ti¥Ë_¥Ë_sto,2006,pop,0.6
103,Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D),AmeriKKKa's Most Wanted (Explicit),Ice Cube Featuring Chuck D,0,jazz,0.3
104,Summer Of My Life,Charcoal Lane,Archie Roach,1990,classical,0
105,Foggy Mountain Breakdown,The Complete Mercury Recordings,Lester Flatt / Earl Scruggs / The Foggy Mountain Boys,0,metal,0
106,Sonata No. 10 Op. 70,Scriabin - Piano Works,Mikhail Pletnev,0,pop,0
107,Red Ramona,Shake And Play,Janette Slack,0,jazz,0
108,What Matters Is Just You,Aire/Invisible,Luis Eduardo Aute,0,classical,0
109,Southern Comfort,One Step Forward,Lonesome River Band,0,metal,0
110,Something From Nothing,Friendship Forever,Retard-O-Bot,2005,pop,0.3
111,Half Light,The Other Coast,Michael Whalen,0,jazz,0.6
112,Bonus Track,Spirit Of '94,Kaze,0,classical,0.3
113,High Low And In Between,Country Linedancing,Mark Wills,1996,metal,0.2
114,Detalles,En Vivo,Roberto Carlos,1990,rock,0.5
115,Rock Can't Last Forever  (You Hate Me Hate Music Album Version),You Make Me Hate Music,Fine China,2002,pop,0.9
116,Get Along (Feat: Pace Won) (Instrumental),Charango,Morcheeba,2002,pop,0.6
117,Caravan,"Greatest Hits Of Richard ""Groove"" Holmes","Richard ""Groove"" Holmes",0,jazz,0.3
118,Just Is,What Sound,Lamb,0,classical,0
119,The Life That I Never Had,The Life That I Never Had,Sektosixo,0,metal,0
120,Inside Your Dreams,Inside Your Dreams,DJ Markitos,2003,pop,0
121,Hot (Album Version),Milk Me  [Amended Version],The Beatnuts,0,jazz,0.5
